,SOL,AMBIENT_TEMP_min,AMBIENT_TEMP_max,PRESSURE_min,PRESSURE_max,VOLUME_MIXING_RATIO_min,VOLUME_MIXING_RATIO_max,LOCAL_RELATIVE_HUMIDITY_min,LOCAL_RELATIVE_HUMIDITY_max,MARS_MONTH,MARS_YEAR,MARS_SOL_IN_MONTH
0,0,206.9,266.97,690.64,754.97,0.0,549.71,0.0,11.47,0,0,0
1,1,197.69,256.46,691.47,776.23,0.0,544.2,0.0,33.45,0,0,1
2,2,196.54,273.26,692.67,779.53,0.0,4476.32,0.0,31.41,0,0,2
3,3,196.61,253.89,693.18,778.83,25.95,3449.46,1.31,30.75,0,0,3
4,4,198.75,268.15,693.16,765.2,37.28,4666.43,1.2,19.37,0,0,4
5,5,199.24,256.6,691.21,781.42,29.66,3600.44,1.32,24.79,0,0,5
6,6,193.0,257.35,690.42,783.92,31.07,4040.71,1.11,30.94,0,0,6
7,7,196.06,273.78,690.05,786.37,38.58,7165.06,0.77,31.49,0,0,7
8,8,195.1,269.8,690.53,786.86,31.24,5524.13,0.79,32.97,0,0,8
9,9,200.18,251.36,731.78,786.55,23.46,1566.39,1.41,20.79,0,0,9
10,10,210.45,270.42,690.25,755.22,78.48,5846.25,0.65,7.65,0,0,10
11,11,202.52,272.51,690.31,762.38,51.71,9284.66,0.67,10.98,0,0,11
12,12,198.18,271.05,689.37,788.86,31.04,6347.26,0.92,19.17,0,0,12
13,13,198.28,267.41,688.88,787.66,29.99,5475.41,0.89,21.34,0,0,13
14,14,197.8,256.63,688.48,788.85,29.44,3141.83,1.06,18.95,0,0,14
15,15,195.63,266.49,690.36,788.15,32.67,3948.62,0.87,19.99,0,0,15
16,16,197.3,262.02,692.65,790.52,29.35,3518.8,0.91,19.03,0,0,16
17,17,196.77,258.38,694.74,790.94,31.28,3862.06,1.1,29.9,0,0,17
18,18,198.06,258.47,694.11,789.74,24.22,3367.46,1.03,23.21,0,0,18
19,19,197.45,258.12,694.58,791.0,20.55,3274.0,1.0,25.1,0,0,19
20,20,197.26,271.68,695.3,793.66,20.8,6260.53,0.7,24.37,0,0,20
21,21,197.17,270.75,694.52,793.26,20.46,7855.11,0.71,22.42,0,0,21
22,22,197.11,246.6,693.8,795.12,32.7,6082.93,0.67,18.38,0,0,22
23,23,209.31,271.57,695.57,763.62,82.53,5484.0,0.63,9.24,0,0,23
24,24,197.97,270.97,696.44,796.8,33.37,5520.6,0.56,23.46,0,0,24
25,25,199.06,274.42,696.72,796.12,25.35,6166.32,0.48,21.74,0,0,25
26,26,199.68,271.99,696.48,798.65,34.81,5579.3,0.5,28.46,0,0,26
27,27,197.7,271.75,698.14,798.75,36.34,5677.49,0.44,16.94,0,0,27
28,28,199.25,273.59,698.87,800.95,31.08,5238.64,0.44,25.06,0,0,28
29,29,198.58,259.51,698.27,800.87,29.01,2744.91,0.68,20.06,0,0,29
30,30,197.15,265.86,698.49,802.51,24.87,2911.13,0.63,23.48,0,0,30
31,31,197.81,261.74,699.12,804.53,29.56,2375.62,0.72,19.14,0,0,31
32,32,197.98,261.43,700.43,804.68,33.42,2560.48,0.64,19.83,0,0,32
33,33,196.93,267.02,703.31,802.98,39.84,2823.68,0.55,25.97,0,0,33
34,34,197.74,261.28,705.96,804.8,33.22,2552.19,0.6,18.56,0,0,34
35,35,196.87,262.69,705.8,805.87,22.67,2256.66,0.61,19.81,0,0,35
36,36,199.14,263.81,705.98,805.99,24.35,2654.34,0.65,21.5,0,0,36
37,37,198.36,259.5,707.6,806.23,26.64,2435.76,0.63,18.43,0,0,37
38,38,198.02,264.67,707.77,806.21,32.21,2876.12,0.72,19.64,0,0,38
39,39,198.2,271.82,709.51,805.9,27.54,3123.54,0.69,20.34,0,0,39
40,40,199.25,263.77,711.77,806.2,34.65,3245.65,0.73,18.44,0,0,40
41,41,199.3,263.04,711.47,806.95,29.87,3654.44,0.76,19.43,0,0,41
42,42,196.46,266.31,712.08,808.02,36.43,3234.84,0.75,17.54,0,0,42
43,43,199.76,268.19,715.28,806.67,62.43,3410.39,0.78,4.71,0,0,43
44,44,203.34,268.41,716.08,806.61,24.29,3592.33,0.73,13.79,0,0,44
45,45,199.84,264.39,717.14,809.45,27.46,3401.09,0.73,16.23,0,0,45
46,46,198.95,272.39,718.39,809.88,19.99,4662.33,0.54,21.56,0,0,46
47,47,199.39,270.46,719.39,812.33,29.63,4757.34,0.52,19.66,0,0,47
48,48,197.78,270.86,720.19,812.1,24.89,5309.05,0.45,15.11,0,0,48
49,49,198.64,271.24,722.01,812.07,17.15,4978.53,0.46,16.7,0,0,49
50,50,195.98,272.76,723.77,813.61,20.74,5210.7,0.43,13.48,0,0,50
51,51,198.09,271.47,726.21,815.16,21.75,4915.08,0.43,21.82,0,0,51
52,52,200.83,272.01,725.52,815.56,17.78,5174.35,0.37,21.07,0,0,52
53,53,200.49,272.41,727.71,816.21,21.86,5083.53,0.37,20.54,0,0,53
54,54,200.45,272.92,727.66,817.62,20.81,5314.09,0.34,19.05,0,0,54
55,55,196.78,273.38,728.88,817.6,22.3,4980.31,0.35,14.16,1,0,0
56,56,201.04,271.68,730.84,819.01,22.78,4927.55,0.34,16.87,1,0,1
57,57,199.74,271.52,731.71,817.94,18.92,4512.28,0.35,20.37,1,0,2
58,58,199.38,266.4,733.16,820.58,18.7,4408.08,0.34,12.19,1,0,3
59,59,201.57,272.36,734.28,820.62,23.68,4336.09,0.36,14.34,1,0,4
60,60,200.45,273.99,735.86,815.18,18.72,12724.8,0.42,15.05,1,0,5
61,61,199.57,272.5,737.97,823.91,22.93,10784.1,0.82,12.27,1,0,6
62,62,201.06,271.34,738.16,824.91,20.02,8907.46,0.79,13.77,1,0,7
63,63,199.99,271.81,739.67,826.45,16.9,9477.19,0.69,14.24,1,0,8
64,64,195.51,273.31,741.24,828.17,22.33,9307.59,0.66,10.35,1,0,9
