,month_normalized,time_idx,value,static,date
0,0,0,266.97,2,2013-01-01
1,0,1,256.46,2,2013-01-02
2,0,2,273.26,2,2013-01-03
3,0,3,253.89,2,2013-01-04
4,0,4,268.15,2,2013-01-05
5,0,5,256.6,2,2013-01-06
6,0,6,257.35,2,2013-01-07
7,0,7,273.78,2,2013-01-08
8,0,8,269.8,2,2013-01-09
9,0,9,251.36,2,2013-01-10
10,0,10,270.42,2,2013-01-11
11,0,11,272.51,2,2013-01-12
12,0,12,271.05,2,2013-01-13
13,0,13,267.41,2,2013-01-14
14,0,14,256.63,2,2013-01-15
15,0,15,266.49,2,2013-01-16
16,0,16,262.02,2,2013-01-17
17,0,17,258.38,2,2013-01-18
18,0,18,258.47,2,2013-01-19
19,0,19,258.12,2,2013-01-20
20,0,20,271.68,2,2013-01-21
21,0,21,270.75,2,2013-01-22
22,0,22,246.6,2,2013-01-23
23,0,23,271.57,2,2013-01-24
24,0,24,270.97,2,2013-01-25
25,0,25,274.42,2,2013-01-26
26,0,26,271.99,2,2013-01-27
27,0,27,271.75,2,2013-01-28
28,0,28,273.59,2,2013-01-29
29,0,29,259.51,2,2013-01-30
30,0,30,265.86,2,2013-01-31
31,0,31,261.74,2,2013-02-01
32,0,32,261.43,2,2013-02-02
33,0,33,267.02,2,2013-02-03
34,0,34,261.28,2,2013-02-04
35,0,35,262.69,2,2013-02-05
36,0,36,263.81,2,2013-02-06
37,0,37,259.5,2,2013-02-07
38,0,38,264.67,2,2013-02-08
39,0,39,271.82,2,2013-02-09
40,0,40,263.77,2,2013-02-10
41,0,41,263.04,2,2013-02-11
42,0,42,266.31,2,2013-02-12
43,0,43,268.19,2,2013-02-13
44,0,44,268.41,2,2013-02-14
45,0,45,264.39,2,2013-02-15
46,0,46,272.39,2,2013-02-16
47,0,47,270.46,2,2013-02-17
48,0,48,270.86,2,2013-02-18
49,0,49,271.24,2,2013-02-19
50,0,50,272.76,2,2013-02-20
51,0,51,271.47,2,2013-02-21
52,0,52,272.01,2,2013-02-22
53,0,53,272.41,2,2013-02-23
54,0,54,272.92,2,2013-02-24
55,1,0,273.38,2,2013-02-25
56,1,1,271.68,2,2013-02-26
57,1,2,271.52,2,2013-02-27
58,1,3,266.4,2,2013-02-28
59,1,4,272.36,2,2013-03-01
60,1,5,273.99,2,2013-03-02
61,1,6,272.5,2,2013-03-03
62,1,7,271.34,2,2013-03-04
63,1,8,271.81,2,2013-03-05
64,1,9,273.31,2,2013-03-06
